,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.005636891045944675,0.006584648356241132,0.01807810483335706,0.04469583863652764,0.007091166814357026,0.013497942580577588,0.0055417834701281116,0.004342935088422409
Precision std,0.0033359146757858315,0.003415237085588465,0.008858287129930848,0.018167082600284136,0.0036196048905968673,0.00737535816182017,0.003495673441039387,0.0025421420702457084
Precision median,0.004788263368648798,0.005881158422953918,0.01731159475432507,0.04124817779486194,0.006520880820270284,0.012966563650223509,0.005045414806913008,0.003516475462748389
Best precision,0.0009033960115637509,0.0016314717266065802,0.005292115565430079,0.015969590637390858,0.0010721532893010802,0.0033872600498635855,0.0006756863060650214,0.000503231695880576
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.021847802734375,0.022343749999999996,0.022679296875,0.022801367187499998,0.023054052734375,0.021804931640625004,0.021093408203125,0.02126376953125
Mean experiment CPU time,109.265869140625,111.748046875,113.423583984375,114.03369140625,115.29931640625,109.0517578125,105.49072265625,106.34326171875
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
