,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,3.749079761904401,4.31415678586248e-10,1.1168901960762743e-07,3.4330267992263597e-06,1.0849024647501798e-08,7.880646710951494e-08,3.2638370505198466,0.8355328236280839
Precision std,2.804435163994007,1.2597466257819827e-09,4.5569413723112993e-07,9.6519177220035e-06,2.529872762932084e-08,4.1331563531729075e-07,2.43161792490439,0.718411641759703
Precision median,3.123069871463237,1.2038051358975759e-11,2.6742443965888844e-09,7.612367651629113e-07,1.1999752542921808e-09,1.927850150786352e-09,2.8105622721374948,0.6662210361015706
Best precision,0.1632945539188709,7.944179090776961e-14,1.0251228405359571e-11,7.110861332903828e-10,4.418631820064606e-12,1.725569967698444e-12,0.3952034010998874,0.0426092068286156
Mean iterations per experiment,5000.0,4882.953125,5000.0,5000.0,4990.1875,4989.484375,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.01841865234375,0.01890096286687485,0.019097802734375002,0.019123974609375,0.01920223959993561,0.019301149461641326,0.019212744140625,0.019164746093749997
Mean experiment CPU time,92.1142578125,92.31005859375,95.5146484375,95.64453125,95.849853515625,96.324951171875,96.087158203125,95.848388671875
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
