,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.00041878366561505184,0.0006184960422139723,0.0016899080688005815,0.003587010299495888,0.0005737106174150241,0.001031959374426211,0.00048362827344568,0.0007136638776813681
Precision std,0.0001831251053261533,0.000326117322955376,0.0010780231007730611,0.00229730044087509,0.0003325896224382825,0.00047864288965167393,0.00020961094459720533,0.0002717808668807233
Precision median,0.0003670221547088441,0.000540618061938088,0.0014225081191460306,0.003046569437007484,0.0005342009223373299,0.000890167415484016,0.00044048218006069776,0.0006369840624706588
Best precision,0.00013697871342205323,0.0001554518777029443,0.00047633752771804094,0.00042938709528831325,0.00012230975634993136,0.00035179836544730166,0.00021025687257314688,0.0002917394067514938
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.01315849609375,0.013839697265625,0.013951806640625,0.014108642578125,0.014004638671875,0.014100927734375001,0.013927685546874999,0.014006298828125
Mean experiment CPU time,65.814453125,69.228515625,69.785400390625,70.569580078125,70.05078125,70.529296875,69.666259765625,70.061767578125
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
