,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.971768373664898,2.12060566429837e-14,5.629930843346948e-15,4.23351141794877e-15,3.0908680207676994e-14,7.0371980003135915e-15,0.9706505952810696,0.24749045884405133
Precision std,0.7868023463866229,1.2534967147109309e-14,2.626444216406327e-15,1.6002115150558911e-15,1.393509229967704e-14,3.230482485211776e-15,0.9094588305926301,0.165935150976358
Precision median,0.7079911764418677,1.7693918774985447e-14,5.205649343310728e-15,3.923151356976073e-15,2.880540123002344e-14,6.026451565051953e-15,0.6850411520704096,0.21541292523603192
Best precision,0.07909328368563937,6.659580067596395e-15,1.8991017936737273e-15,1.2036606686791682e-15,4.816084602813331e-15,1.4988261135465376e-15,0.0740615111535403,0.007776184068620894
Mean iterations per experiment,5000.0,1247.109375,1183.8125,1804.671875,1327.65625,1135.8125,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.00953037109375,0.009922474839879375,0.009844164577713609,0.00990859587608263,0.010177714012225642,0.010102062419118776,0.01017021484375,0.010241357421875
Mean experiment CPU time,47.673095703125,12.37646484375,11.66064453125,17.892822265625,13.504150390625,11.477783203125,50.878173828125,51.23046875
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
