,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.0043695541519205355,0.0045498077831780765,0.005027890116917254,0.006120334000533707,0.004992556859353234,0.005224356079216272,0.003945100973233278,0.003909758029794048
Precision std,0.0012830107825255665,0.0016725144912976995,0.0016857732641528647,0.0021781277566861527,0.0017865196410228375,0.001655797629740677,0.0013297860020681546,0.0016895028140045383
Precision median,0.004290696380846267,0.004129238482163367,0.005163784141970605,0.005713112900152924,0.00484438322599689,0.005011236355889575,0.0037290787607956034,0.0034846429094102134
Best precision,0.00135159157713235,0.0015489992688264603,0.0016993640237609787,0.001710432018157769,0.002016963350080141,0.0019215585907148484,0.0013669308399142923,0.0008941977685387626
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.010047656249999998,0.010615576171875,0.010709765625,0.010868750000000002,0.010744677734375,0.010792724609375,0.010705126953125,0.010752783203125001
Mean experiment CPU time,50.264404296875,53.103515625,53.574951171875,54.367919921875,53.747314453125,53.9931640625,53.553955078125,53.787109375
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
