,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.663328104641293,0.6706534603883654,1.2930365641839818,2.5317067660799317,0.6033762966549454,1.1306145766739617,0.5705954424661882,1.4913099447870068
Precision std,0.7509888296047993,0.6917677136873519,0.678754581627043,0.601517087406265,0.6516399578006677,0.7178813290153969,0.691870968089307,0.6482886607411494
Precision median,0.0010655311499124939,0.9949466384029994,1.407083998333579,2.6324092716848106,0.007487932607983426,1.2010222155636503,0.00010036392511510797,1.4070882040027892
Best precision,6.8505155279475144e-09,6.1482236468523586e-09,6.017566016618691e-09,0.9949586393891047,5.826942268829872e-09,7.814765351804727e-09,5.930224009054822e-09,8.126259063599354e-09
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.013631640625,0.014930712890625,0.01463515625,0.0143716796875,0.014267724609375,0.01428193359375,0.014153271484375,0.01417763671875
Mean experiment CPU time,68.185302734375,74.68115234375,73.200927734375,71.885498046875,71.36279296875,71.43310546875,70.791015625,70.912353515625
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
