,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,4.634410995480339,3.0496919430290627e-10,1.4408575231645338e-08,2.1931767993415455e-06,2.0834284930688606e-08,1.5391894997179147e-07,3.4717749847321677,0.9332693540139834
Precision std,2.63584346519084,8.859609004949378e-10,5.235672931499931e-08,8.505547837825676e-06,9.453854963741483e-08,8.776595188501357e-07,2.195106020912054,0.6239636349169649
Precision median,4.453663646484415,1.2432482834129459e-11,1.5305116696867075e-09,3.87899325529448e-07,6.335228319161269e-10,3.392996952360941e-09,2.814694305366993,0.7267630481642655
Best precision,0.3173999067330901,7.987973160087072e-14,7.991851938472964e-12,5.1854999994254514e-09,1.2212364696642296e-12,6.023628098110808e-12,0.4328595784283135,0.09063455262000729
Mean iterations per experiment,5000.0,4893.6875,5000.0,5000.0,4975.265625,4999.6875,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.0183033203125,0.01884280719460369,0.0188181640625,0.018390673828125,0.01851374942819293,0.018740700301204817,0.018276806640625,0.018448876953125
Mean experiment CPU time,91.5419921875,92.2421875,94.112548828125,91.977294921875,92.140625,93.723876953125,91.407470703125,92.271484375
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
