,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.14502523126362826,0.15287604462696353,0.2738792914616092,0.42326381634717936,0.14945750934137247,0.21422907498598842,0.14060374334898856,0.11317074634882242
Precision std,0.05629176413855588,0.06702541154343261,0.09439580550855527,0.14950348609994127,0.06152497254640728,0.07949330680558443,0.07068694100868941,0.050228349908083864
Precision median,0.1389821377656148,0.14156031398395308,0.2577351901578378,0.4294377492718364,0.14825826781121781,0.20004820345079538,0.13088355435960847,0.10551944782209072
Best precision,0.05017300555368884,0.041368141841036696,0.12770780636796247,0.11826637971674683,0.04371587180587407,0.057362300929882454,0.03271234931215924,0.035641893672418844
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.021439794921874998,0.020764501953125,0.020949853515625002,0.021335888671875,0.020773876953125,0.020938867187499998,0.020734619140625,0.02107060546875
Mean experiment CPU time,107.221923828125,103.848876953125,104.77978515625,106.705810546875,103.898193359375,104.71826171875,103.696044921875,105.381103515625
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
