,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,2.86761165365136,2.8155195369929036,2.290014044595449,1.9565282158575947,2.8936409267943546,2.2313366105089845,2.8110637478402363,2.693840483090258
Precision std,0.6803366574276607,0.6156823319073819,0.6807698159158948,0.6870632326658392,0.6999247035428795,0.557794787830381,0.7087912365600236,0.7375701781414602
Precision median,2.892487765146548,2.8141644321861747,2.2247951478905685,1.9899172756959995,2.899518600382745,2.224792894195609,2.723073401585255,2.633162065105389
Best precision,1.3942840733525907,1.4070840228849628,0.9949586322150339,9.639943820276312e-09,1.4070840096798156,0.9949583945482677,1.3839193686709967,0.9938433627982369
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.011850439453125,0.012190869140625001,0.01224990234375,0.012240185546875,0.012484277343750001,0.012096875,0.012161083984375001,0.012195068359374998
Mean experiment CPU time,59.28076171875,60.97900390625,61.2783203125,61.227294921875,62.44873046875,60.51123046875,60.828857421875,61.003662109375
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
