,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,2.807381855454104e-05,2.8989516298339662e-05,3.2386548918594055e-05,3.4854467134448855e-05,2.913770185634691e-05,3.063291409044414e-05,2.7870332712468947e-05,2.7654897401382195e-05
Precision std,1.8259400995045992e-05,1.6714733401824588e-05,1.88466553868425e-05,1.9335318282119885e-05,1.69522900069255e-05,1.588589556605316e-05,1.774642935255527e-05,1.4534387375993408e-05
Precision median,2.4177593456892693e-05,2.4084246705342795e-05,2.9165381624161636e-05,3.0465159026463636e-05,2.6859029988952688e-05,2.9415450333145807e-05,2.4960549091041266e-05,2.4957751028986e-05
Best precision,3.96610803252444e-06,8.571422557812821e-06,4.904518728539769e-06,7.18293367409047e-06,5.384831607552845e-06,4.421151520563356e-06,2.878267894181183e-06,7.6199217477035344e-06
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.01048466796875,0.0105998046875,0.010113330078125,0.01017490234375,0.010107470703125,0.010119775390625,0.010028759765624999,0.010088232421875
Mean experiment CPU time,52.447021484375,53.026611328125,50.586181640625,50.89892578125,50.559814453125,50.6201171875,50.16796875,50.4677734375
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
