,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,1.2135485832532142,2.1497348714808248e-14,5.79336326025747e-15,3.696476399429896e-15,2.8847638092678554e-14,7.247448129078114e-15,0.933510172175845,0.28689446821071696
Precision std,0.761477166647469,1.4213049659000217e-14,2.7286679345695235e-15,1.528140630308063e-15,1.8796596748383045e-14,3.60928125686379e-15,0.6750841698309452,0.224107356731599
Precision median,1.0597308851172378,1.8701746868223108e-14,5.215627714736255e-15,3.4807789900866575e-15,2.6377073270522543e-14,6.420283217472016e-15,0.8464812797097828,0.2317516716339703
Best precision,0.214481188604686,4.7797596071803684e-15,2.2861563735840325e-15,1.2692353465676594e-15,9.43762084956497e-15,2.626551746765351e-15,0.07950026678328809,0.02232004312418448
Mean iterations per experiment,5000.0,1248.171875,1193.25,1790.71875,1313.046875,1132.296875,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.009342333984375,0.01020547419845325,0.010344294767899023,0.010392943520734107,0.010451800098654514,0.010107516641512725,0.01004267578125,0.010090576171875
Mean experiment CPU time,46.736572265625,12.740234375,12.349365234375,18.6201171875,13.726806640625,11.451171875,50.2373046875,50.482421875
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
