,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,3.6576782239501533,2.9032316846534183,1.7377377996757732,2.288207200240901,2.7743419685978,1.7828132207988383,3.96331896471496,4.893006644553746
Precision std,5.19146345099708,4.818341912734942,3.8109480109540166,4.560037428024172,5.000490193963398,3.9115771798460224,5.414470030057442,6.017098649598873
Precision median,7.675579952475909e-06,7.842100675613327e-10,2.6003552622890687e-08,2.0965081077630947e-05,2.410688513832833e-09,3.3649697082535793e-09,0.00018099094752560115,0.14166117738890346
Best precision,1.5484863522404703e-22,2.3149984618230178e-25,3.492118489941637e-22,5.136448088548338e-19,2.2054515597121913e-23,6.512739415788458e-22,6.078880659721613e-19,1.493683206586387e-18
Mean iterations per experiment,4775.3828125,4754.162109375,4811.466796875,4768.84375,4791.26171875,4813.009765625,4816.61328125,4828.126953125
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.00995281370843774,0.010180124146771604,0.010187669309356266,0.01030599429637412,0.010152848312654617,0.010141702973905164,0.010105040929032562,0.010176031323678867
Mean experiment CPU time,47.52640419316406,48.386214586408215,49.01952203005858,49.13885683594334,48.63693965694732,48.81418493590037,48.67830860166205,49.130158241933586
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
