,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,1.3665500897485752,1.0687769622337817,0.6003040541137847,0.8229613832226756,1.2051925983455765,0.7636853178261064,1.3100923412817291,1.0761304791919417
Precision std,0.8572302542252249,2.098610985045535,1.4194746067201416,1.7878806387345507,1.8431371808791879,1.9883459195968582,0.6234436653784093,1.9684950950854172
Precision median,1.364682809100378,0.4741258263439431,0.2525544936010016,0.3231224993068621,0.5599942881151423,0.33661540410865654,1.373231359333872,0.9670429852324396
Best precision,0.000997054853429553,0.0008005912216707018,0.00011066255229086821,0.00018676111656218164,3.102518930544647e-05,0.00026827838412051843,0.000821545200114683,0.00020597789118477367
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.01382879561478249,0.013688845901223072,0.013670939568336319,0.013698178394626129,0.013549589741059818,0.013575940435579742,0.009542763828863172,0.007221592697314787
Mean experiment CPU time,69.1726296079336,68.47077324976563,68.380530477711,68.51595650895703,67.77350166052939,67.90526402700381,47.734545015689534,36.12655412416004
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
