,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,2.6610939295081335e-05,3.072499778875456e-05,3.1719850348567384e-05,3.582587099019013e-05,3.0015350905588424e-05,3.2899730098936025e-05,2.5502080905650927e-05,2.6210776162285716e-05
Precision std,1.4688681734385485e-05,1.822984622414931e-05,1.9045075454935822e-05,1.987275728285862e-05,1.6435235178563186e-05,1.858588053858054e-05,1.6112098106984543e-05,1.3813863631554529e-05
Precision median,2.363371167130285e-05,2.7568383847826717e-05,2.768489490662074e-05,3.181054410642302e-05,2.739912463144466e-05,2.8757104772587676e-05,2.1636503896394595e-05,2.3649957037258494e-05
Best precision,3.656359404188504e-06,5.405524942166969e-06,3.1989889237263387e-06,3.7827053332121085e-06,4.742567350746685e-06,3.878701551255176e-06,3.681815319703416e-06,3.32547409291209e-06
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.006198236083984374,0.006372698974609375,0.006344049072265625,0.0064036376953125,0.006348419189453125,0.006374176025390625,0.006309759521484375,0.006345782470703124
Mean experiment CPU time,31.00921630859375,31.881195068359375,31.737701416015625,32.03582763671875,31.760101318359375,31.88934326171875,31.567474365234375,31.74627685546875
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
