,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.0013464094390273134,0.001525438265144237,0.0016826396549831286,0.0020618214374712954,0.0014741000591231212,0.0017141382178100769,0.0013226454942174757,0.0013849596272312433
Precision std,0.0004456972166493589,0.000534790869639098,0.0006099155795301053,0.0008118806201822751,0.0005536760836076126,0.0006098194359371954,0.0004947576379858757,0.0005224190299209407
Precision median,0.0013349266099524303,0.0014771240546334182,0.0015770142331229143,0.001962304238402582,0.0013770143831673693,0.0016372828873626763,0.0012691524446726164,0.0013278692429634488
Best precision,0.0003293474576069473,0.0003870781085073799,0.00035364782880114535,0.0004935576718673401,0.00030921800343387525,0.000344964066778646,0.0003229128040406115,0.0003587192112399566
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.012823004150390626,0.012147381591796874,0.012047705078125,0.012301062011718749,0.012005828857421874,0.01206981201171875,0.01193792724609375,0.012034906005859375
Mean experiment CPU time,64.14205932617188,60.76251220703125,60.2613525390625,61.529052734375,60.05316162109375,60.3746337890625,59.714263916015625,60.197296142578125
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
