,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.1408987468033392,0.15357412615039828,0.2555597201350726,0.4069637346755715,0.146558053749012,0.2042382691423814,0.1427061434343197,0.11713329670389344
Precision std,0.0572284423586317,0.06972627534677468,0.09862613987356746,0.15162628808066503,0.05852905090301051,0.09337571023359371,0.060654482717130975,0.05023629792556608
Precision median,0.13086136329763054,0.13745284931887983,0.24475858427553393,0.38368272368811407,0.13706893727446062,0.18576332266044687,0.13506000717117356,0.10846387381508202
Best precision,0.02692391572264853,0.02841129844250013,0.08620393054006402,0.13616714092181506,0.02984756807662635,0.0419892380932524,0.030923378509447787,0.03403831568096715
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.0369233154296875,0.0346686279296875,0.03474044189453125,0.03588389892578125,0.034082458496093745,0.033952539062499995,0.03360778808593751,0.03399163818359375
Mean experiment CPU time,184.64862060546875,173.3690185546875,173.729248046875,179.447998046875,170.43853759765625,169.790283203125,168.0633544921875,169.98052978515625
Experiments,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
