,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.00047837287691238393,0.0006410803212833303,0.0014017261650613455,0.005355310953736855,0.0006253201031725349,0.0010127547197144756,0.00045240631466303335,0.000652610225241008
Precision std,0.0002454405581852704,0.00032418488498867814,0.0008871050173062694,0.04385368619801917,0.0003062498515840214,0.0005361380861900783,0.00022256371067268948,0.0003256110556508517
Precision median,0.0004161268650845416,0.0005881238258537568,0.0012121530882497674,0.0026721002860417703,0.0005572117085940085,0.0008985270442184827,0.0004126967155209939,0.0005979706827670462
Best precision,7.610490546860052e-05,0.00010960929261785514,0.00028375748431693463,0.0004737253171933239,0.00012010551740789138,0.00018330115061682427,6.002091255686936e-05,0.00014889930456578432
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.011381727009801406,0.011770159499859448,0.011440699417993607,0.011722812160093132,0.012015486691323164,0.011467514031244463,0.011354044819794636,0.011318816232347338
Mean experiment CPU time,56.93496586000781,58.87745536913478,57.228809193892744,58.639092342400374,60.10385190318199,57.36216864739269,56.79521681494525,56.61782746328936
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
