,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.00044020492933303937,0.00045498307598799937,0.00046808835877037606,0.0004654534921177283,0.0004580273134743239,0.000494241807319786,0.0004180479382742364,0.00043291140028459206
Precision std,0.0002029393143842739,0.00021375046167331236,0.00022651016338314805,0.00022921656082499804,0.0002070749843372611,0.00024633533219852865,0.00019910111404121636,0.00021063626317428086
Precision median,0.00040158899542887456,0.0004256969949205735,0.00042090193436880303,0.0004306818175652255,0.00041491965858532617,0.00045624526897655325,0.0003886435464096026,0.00039634620200662866
Best precision,6.701930282858616e-05,9.16090309073328e-05,8.471369417860402e-05,5.7492876705144406e-05,8.434730605458209e-05,6.811747701200541e-05,8.219202773490065e-05,6.272672658938562e-05
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.009571295166015625,0.009739141845703125,0.00990150146484375,0.009764239501953126,0.010420086669921873,0.010459027099609376,0.010030810546875,0.0103957275390625
Mean experiment CPU time,47.8817138671875,48.71942138671875,49.53253173828125,48.8431396484375,52.12591552734375,52.321258544921875,50.178985595703125,52.001708984375
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
