,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,11.917416623145082,9.21332365863273,5.929164815741043,5.650920815817582,8.989327283121526,5.794282419870322,11.957073967181742,11.608719350025858
Precision std,3.584297120195584,4.012620070430021,3.0064684336320577,2.861479246663939,3.82904913696615,3.131905425396401,3.599379646048025,4.010939100282914
Precision median,11.949012621719872,8.391833057694356,5.506219371789115,5.503485371424116,8.746154627805822,5.504396855763709,11.844918778856275,11.650386714296381
Best precision,0.21557616965721058,0.1416581254697321,0.100167421161549,0.10016742116155869,0.14165812584510387,0.10016742116154467,0.20738892284762575,0.10196267545367557
Mean iterations per experiment,4731.662109375,3915.677734375,2815.453125,3487.943359375,4123.701171875,2760.3359375,4690.595703125,4637.162109375
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.009455806553116784,0.009761413030790537,0.009719355219026005,0.009669696217439402,0.00968067512456098,0.00963353086132445,0.00962199455639599,0.009609201257793097
Mean experiment CPU time,44.762935342910154,38.24944990353124,27.3753568856113,33.7453402794453,39.929625661800785,26.602233775839803,45.166742770457034,44.58398129658583
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
