,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,2.9011533870839536,2.7907744569327626,2.2313796405424045,2.0046379249468496,2.849795196940063,2.2726591495621307,2.911758717235705,2.703270982445934
Precision std,0.6902874297299844,0.7394522579310351,0.6074099323961859,0.5726145203384059,0.7125772253705227,0.5926503530815723,0.6785699248270562,0.6728973796732182
Precision median,2.8160539321649853,2.8141644298515756,2.224795143668337,1.9899172746821967,2.8141644381294286,2.224795145865733,2.8166156490670344,2.6330685774167923
Best precision,1.3965463802108116,0.9949586240171311,0.9949585284530088,1.047382399803546e-08,0.9949586291909478,1.049607469075198e-08,1.399399542197128,0.9938171632592733
Mean iterations per experiment,4205.44921875,2010.748046875,2406.060546875,3202.236328125,2051.916015625,2288.068359375,4089.91015625,3542.953125
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.010187446112264341,0.010347857830633914,0.010370547490915169,0.01040459359318022,0.01036298641967442,0.01038282553708924,0.010377899174972071,0.0103663913628161
Mean experiment CPU time,42.865397554404296,20.821004173527353,24.961191819621085,33.32585758460742,21.281927087480504,23.780102803650454,42.45723105644148,36.74190532582809
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
