,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,2.9145486403927743,0.36985294770085414,0.24527090212619346,0.16351397109994664,0.42435759259382133,0.23748452431444236,2.878167514240403,2.704192268522708
Precision std,0.6706536301680428,0.7748815299527405,0.6547853050291453,0.5469897015247792,0.8159644749391947,0.6457414543682612,0.5840990562592555,0.7481471268431484
Precision median,2.991221308479834,2.774221416188401e-14,1.546164509051573e-14,1.3428556285685403e-14,3.900620469809364e-14,1.632308552714159e-14,2.968640637088903,2.7368675372806184
Best precision,0.07447216365886744,3.8459253727671276e-16,1.1102230246251565e-16,1.1102230246251565e-16,3.1401849173675503e-16,1.1102230246251565e-16,0.22937615402424238,0.09447785085343802
Mean iterations per experiment,4706.158203125,1959.029296875,1807.798828125,2716.77734375,2332.02734375,1675.36328125,4718.423828125,4704.021484375
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.012108870540393656,0.012318105233684321,0.012367680435750742,0.012417591988956537,0.01237385851971512,0.012372170387768402,0.01229236138676365,0.012308941971031384
Mean experiment CPU time,57.018592053822275,24.142783554128897,22.37129070691796,33.74970056442579,28.87699702499031,20.731149783064435,58.03021694239254,57.92931796158199
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
