,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.18157208667192892,1.815764029890896e-06,2.9063290662817937e-13,2.885046625622989e-14,1.3743692881734285e-07,4.341437933973912e-12,0.1715550841909483,0.05841724736620454
Precision std,0.2243290088485895,3.855628691807338e-05,3.878400012135761e-12,2.448484572260878e-13,1.3786823511947639e-06,5.032794278183335e-11,0.22047156269751939,0.059840747795719226
Precision median,0.1277017198501531,2.481211646824374e-11,8.380853652325742e-15,4.512801996963321e-15,1.3424724156940047e-09,1.865199546367265e-14,0.1116177656932141,0.041363073671722754
Best precision,0.00782731997396818,4.4680687212788e-14,1.1071360509269222e-15,3.3585313067803696e-17,6.233723546331934e-13,1.031513163292297e-15,0.0032030334149001304,0.0011795988672469485
Mean iterations per experiment,1176.15234375,2639.767578125,1197.556640625,1676.359375,3049.837890625,1190.978515625,1182.689453125,1587.85546875
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.009814694924780768,0.009954449578825979,0.009971670502596224,0.009977747448193863,0.009991463114120695,0.009979426880418713,0.009990493223578024,0.009994314080971664
Mean experiment CPU time,11.529423656250003,26.27847573034962,11.947083465259759,16.733419334669925,30.487803616435563,11.89177555994728,11.812036757919916,15.869254296560586
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
