,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,1.0219570730202627,2.101475855763801e-14,5.51723706082881e-15,4.124840237848182e-15,3.005602515272703e-14,6.892112673858165e-15,0.7769189647392792,0.26426038220173476
Precision std,0.8165982904378852,1.2033547624571001e-14,2.112110860187201e-15,1.8260122726813325e-15,1.949058053839768e-14,3.2950276851619364e-15,0.6047924523017235,0.21604125866077684
Precision median,0.7964560493306567,1.8591847347998758e-14,5.310084054441673e-15,3.773038614478251e-15,2.4740376119419618e-14,6.245881864064107e-15,0.6311336027827504,0.2051298033962058
Best precision,0.0241251419979146,2.918532610479237e-15,1.1196030547897705e-15,8.594978206500841e-16,4.157596487499892e-15,1.4768862009992694e-15,0.020277048755097813,0.010624865346232571
Mean iterations per experiment,5000.0,1247.46484375,1197.189453125,1779.86328125,1352.24609375,1136.873046875,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.008367974934190593,0.008571066283054582,0.008605189503218116,0.008591464622771156,0.00855812266674819,0.008563356001676112,0.008578896469962159,0.00854190642374774
Mean experiment CPU time,41.863910478914065,10.697627122714838,10.3072887806543,15.299323043294912,11.580454749464865,9.739627277730477,42.9186432513828,42.73338734064452
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
