,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,1.5012427528671195,1.324816126533002,0.315454893625693,0.12171124561707869,1.3171988343813508,0.34645786239609794,1.3378781014439565,0.7017013590858319
Precision std,0.8613759790978149,0.8272152552245441,0.5513067161453489,0.3456852738223036,0.7765447507068483,0.5677991459566617,0.8365423747356067,0.7213595757554385
Precision median,1.619017994687948,1.2975934233645332,1.2797120154473849e-14,1.2162718139663218e-14,1.2975934270306624,1.311060005270881e-14,1.3173044838344876,0.8659774677882751
Best precision,0.00333134447337628,7.42480708972186e-15,3.2575187619836546e-15,3.6266598927218735e-15,1.3112272647918145e-14,3.7595201975973655e-15,0.002140298664806262,0.000167546225383335
Mean iterations per experiment,5000.0,4391.5390625,3115.978515625,4789.9296875,4467.62109375,3200.0390625,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.009894476318359376,0.011195480476350314,0.011829294622859112,0.01174718972624015,0.011946885990896015,0.011929706870334338,0.011928057861328126,0.011558905029296875
Mean experiment CPU time,49.497650146484375,49.1392822265625,36.83984375,56.29327392578125,53.38922119140625,38.115081787109375,59.6683349609375,57.821807861328125
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
