,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,1.338353614724974,3.8922344330672936e-11,4.662043148576923e-08,8.396749135134531e-06,7.648596266898826e-09,2.050921155280541e-08,0.9845776115007956,0.2852240586976671
Precision std,1.1303976910697011,3.1619583204385306e-10,1.9020005047556884e-07,2.9179619301634825e-05,6.027509868729505e-08,5.124650806377548e-08,0.8450767787666035,0.261015787226566
Precision median,0.9960710940101509,1.0092875523071154e-12,4.478132880722632e-09,1.1200242026532227e-06,2.0024114728771006e-10,2.5741037993463697e-09,0.7497828158787452,0.20376636988592653
Best precision,0.05090424747376494,1.8319774055068967e-14,2.08559265495218e-12,1.049875349559196e-09,5.71766743868121e-14,3.867949630463909e-12,0.040087560670050135,0.004685757041027111
Mean iterations per experiment,5000.0,4864.5078125,5000.0,5000.0,4964.91796875,4999.828125,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.03320875987674841,0.03347335457999952,0.03352485262363292,0.03353264020373205,0.033500522975399155,0.033513810187774086,0.03332411652316325,0.033333432201514024
Mean experiment CPU time,166.06940285332809,162.8544456326211,167.65027415622262,167.68904684744538,166.35210867280463,167.58937432668745,166.6462078331797,166.6928190296168
Experiments,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
