,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,2.8802793634411765,2.6517637384815385,2.3334043634309545,2.179107488446835,2.643951238460894,2.2845762384534876,2.7728574884311996,2.462310613457184
Precision std,0.9153303173112699,0.8194540709698203,0.6528464567460863,0.6344710854996162,0.761646130290427,0.668479679432455,0.8328812962551353,0.680887500334311
Precision median,2.9974668632772348,2.9974668626335896,1.9974668638553759,1.9974668636203667,2.9974668629106356,1.9974668637375101,2.9974668630063146,1.9974668640485191
Best precision,0.9974668631513574,0.9974668629443207,0.9974668629099238,0.9974668629033169,0.9974668626980634,0.9974668629338891,0.9974668632226303,0.997466863065526
Mean iterations per experiment,1676.564453125,1519.462890625,1576.591796875,1928.767578125,1518.97265625,1591.28515625,1698.791015625,1624.6796875
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.008916557986994256,0.009267784201522567,0.00948989023122863,0.009265329022631209,0.0094802345072997,0.009154136040155941,0.009349309257849416,0.009378178464408868
Mean experiment CPU time,14.956720994326172,14.092557334373012,14.969997956121066,17.87068733014256,14.410492572189433,14.585743650650336,15.89182229289851,15.245032932134833
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
